"ActualValue","Commandlet","Criticality","PolicyId","ReportDetails","RequirementMet"
"""1ea33f82-a850-412b-937b-e3cdea4b9dd7""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.8.13v1","Requirement met","True"
"""2af84b1e-32c8-42b7-82bc-daa82404023b""","Get-MgBetaPolicyAuthorizationPolicy","Shall","MS.Entra.2.4v2","Requirement met","True"
"""2af84b1e-32c8-42b7-82bc-daa82404023b""","Get-MgBetaPolicyAuthorizationPolicy","Shall","MS.Entra.2.8v2","Requirement met","True"
"""62e90394-69f5-4237-9190-012177145e10""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.13.9v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.12.8v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.12.9v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.14.8v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.14.9v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.15.8v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.15.9v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.7.8v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.8.10v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.8.8v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.8.9v1","Requirement met","True"
"""All""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.9.8v1","Requirement met","True"
"""None""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.13.8v1","Requirement met","True"
"""OR""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.10.5v1","Requirement met","True"
"""OR""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.11.3v1","Requirement met","True"
"""OR""","Get-MgBetaIdentityConditionalAccessPolicy","Shall","MS.Entra.12.5v1","Requirement met","True"
